"Header Menu","Header Menu"
"Side Menu","Side Menu"
"Display","Display"
"Disable Magento Native Layered Navigation Block","Disable Magento Native Layered Navigation Block"
"Type","Type"
"All Pages","All Pages"
"Home Page","Home Page"
"Cache Settings","Cache Settings"
"Caching Enabled","Caching Enabled"
"Category Pages","Category Pages"
"Product Pages","Product Pages"
"None","None"
"Default","Default"
"Menu Behavior","Menu Behavior"
"Position","Position"
"Horizontal Dropdown","Horizontal Dropdown"
"Horizontal Plain","Horizontal Plain"
"Horizontal Plain (advanced)","Horizontal Plain (advanced)"
"Horizontal Static","Horizontal Static"
"Vertical Dropdown","Vertical Dropdown"
"Vertical Static","Vertical Static"
"Vertical Folding","Vertical Folding"
"Independent Folding","Independent Folding"
"Mark Current Menu","Mark Current Menu"
"Keep Menu Items Expanded","Keep Menu Items Expanded"
"Left Column","Left Column"
"Content","Content"
"Right Column","Right Column"
"Folding Depth","Folding Depth"
